latitude,longitude
13.0807843,80.2651669
13.0802951,80.2627848
13.0794309,80.2587734
13.0789975,80.2546809
13.0788454,80.2532029
13.0788878,80.2516867
13.0788576,80.2501014
13.0773336,80.2406122
13.0766849,80.2380064
13.0758601,80.2338889
13.0741092,80.229074
13.0739518,80.2247736
13.0769454,80.2117598
13.0769988,80.2069314
13.0763573,80.2015481
13.0741036,80.1911704
13.0714757,80.1861915
13.0644252,80.1716526
13.0822677,80.2816254
13.0109201,80.2170576
13.012363,80.2210838
13.0154974,80.2253737
13.0280247,80.2353917
13.0311611,80.2396609
13.034031,80.24451
13.0488046,80.2497282
13.0557701,80.2555623
13.0566976,80.2566721
13.0577844,80.2576907
13.0681313,80.2712749
13.0716541,80.2743139
13.0717936,80.2743746
13.1199132,80.1992866
13.0806313,80.198514
13.0764358,80.1990264
13.0754064,80.1990697
13.0499473,80.21188
13.0347728,80.2125689
13.0351031,80.2103689
13.032358,80.2095735
13.0222375,80.2063264
13.0197889,80.2062735
13.0190019,80.2060881
13.0361539,80.1534309
13.0344292,80.1571727
13.0148013,80.1929426
13.0380739,80.2566429
13.0394741,80.2470503
13.0287832,80.2497725
13.0324844,80.2525217
13.0448445,80.2598438
13.0396216,80.2525162
13.0388392,80.2571665
13.0386451,80.25237
13.0400724,80.2504421
13.0401481,80.2518552
13.0414962,80.2519579
13.0393041,80.2545661
13.0389572,80.2502825
13.0387699,80.2515707
13.0411381,80.2548625
13.0400851,80.2579571
13.0403949,80.252592
13.0404152,80.2504403
13.0404836,80.2472563
13.0394835,80.2517109
13.040743,80.2504311
13.0408027,80.2519856
13.0387852,80.2513739
13.034865,80.2570577
13.0350631,80.254416
13.0355957,80.2459911
13.0367207,80.2536552
13.0366765,80.2556236
13.018654,80.2599022
13.0222409,80.259261
13.028028,80.2563692
13.0315214,80.2567128
13.0439483,80.2719121
13.0432766,80.2764744
12.8976224,80.2474759
12.9012737,80.2486642
12.9099942,80.2500562
12.9145818,80.2504002
12.9197264,80.2511506
12.9616653,80.2562055
12.9667299,80.2570185
12.8687688,80.2434882
12.8628043,80.2420304
12.9245103,80.2512176
12.9207222,80.251404
12.9082282,80.2498618
12.905517,80.2492449
13.0826299,80.288992
13.0334551,80.2773791
13.0320471,80.2775503
13.0302132,80.2768724
13.029667,80.2767027
13.0286414,80.2763859
13.0266872,80.2755921
13.0258557,80.2752027
13.0240343,80.2739707
13.0187071,80.2671583
13.0319035,80.2116595
13.0691904,80.2057882
13.0722465,80.2020302
13.0091943,80.2286092
13.0067745,80.2476214
12.9877944,80.2513358
13.0647739,80.2435271
13.0612586,80.2431315
13.0595516,80.2425141
13.0578356,80.2427521
13.0401479,80.2547068
13.0402912,80.2534574
13.039099,80.2559325
13.0421882,80.2563956
13.0432611,80.2564612
13.0410781,80.255375
13.0392354,80.2550668
13.0397473,80.2560404
13.0394757,80.2576329
13.0403598,80.2561423
13.0396146,80.2503881
13.035305,80.2507807
13.0390767,80.2494016
13.0394748,80.2494581
13.0403964,80.2494772
13.0393786,80.2475131
13.0495993,80.2531164
13.0449833,80.261593
13.0446855,80.2635724
13.0460945,80.2564512
13.0620121,80.2454509
13.0679245,80.2477466
13.0661996,80.2445707
13.067412,80.2520847
13.0630376,80.2544295
13.0615893,80.2545384
13.0067719,80.2473989
13.0067735,80.2516348
13.0066002,80.2544176
13.0066762,80.2572722
13.0082519,80.2589687
13.0187137,80.2612947
13.0389443,80.2602802
13.0397349,80.2633494
13.0397999,80.2646004
13.0375787,80.2643714
13.0380926,80.2599115
13.0377933,80.2605347
13.0376335,80.2641154
13.0366629,80.2680955
13.0355566,80.2700849
13.0347529,80.2714984
13.0190482,80.2615779
13.0202745,80.2626659
13.0241481,80.2644376
13.0262774,80.2659605
13.0292597,80.2664844
13.035276,80.2679635
13.0395644,80.2677474
13.0413425,80.2682682
13.0418888,80.2682594
13.0508401,80.2641332
13.0527957,80.2638646
13.0610485,80.2651974
13.0627373,80.267121
13.0583,80.2654066
13.0585628,80.2684415
13.0587785,80.2701542
13.0591217,80.2711587
13.0592669,80.2714493
13.0586859,80.2757062
13.0585347,80.2763519
13.05483,80.2543033
13.0534451,80.2689097
13.053249,80.2712743
13.0530865,80.2722303
13.0527706,80.2737522
13.0522258,80.2754042
13.0505402,80.2798381
13.0500527,80.2806834
13.0506863,80.2806534
13.0453213,80.2598607
13.0475717,80.2612511
13.0482192,80.2616175
13.0501726,80.2622741
13.0507822,80.2624825
13.0509863,80.2626478
13.0522924,80.2637854
13.0462399,80.2801341
13.0501222,80.2565908
13.0491111,80.25869
13.0469375,80.2745848
13.0225051,80.2781062
13.0296038,80.2439151
13.0271621,80.2541257
13.0270995,80.2565744
13.0270889,80.2599259
13.0269501,80.2605847
13.0268449,80.2616434
13.0266051,80.2633621
13.0250713,80.2678293
13.029395,80.2640795
13.0293243,80.2656549
13.0667024,80.2540694
13.0673625,80.2548403
13.0760151,80.2672158
13.075238,80.2702071
13.0722422,80.2739583
12.9854194,80.2236278
12.9760873,80.2213325
13.0513046,80.2501962
13.0482864,80.2458483
13.0426746,80.2322657
13.0474136,80.2330821
13.0561236,80.2347301
13.0580858,80.2373271
13.0594571,80.237392
13.0601446,80.2374872
13.0664731,80.2313762
13.0666839,80.2287593
13.0681164,80.2265181
13.0295538,80.2457626
13.0181555,80.2410929
13.0241308,80.2430446
13.0276119,80.2454439
13.0186803,80.2608484
13.0186354,80.2581862
13.0200171,80.2547563
13.0205644,80.2531005
13.0245824,80.2527039
13.0271502,80.2537843
13.0202472,80.2630135
13.0189281,80.2627808
13.022328,80.2602598
13.0218341,80.2619612
12.9807054,80.2592827
12.9788805,80.259037
12.9725288,80.2580449
12.9812926,80.2434345
12.9806818,80.2495031
12.9798977,80.2526097
12.9863017,80.2432971
13.0360056,80.2304629
13.0350262,80.2304109
13.030776,80.2307615
13.0260918,80.2313679
13.0279325,80.2328321
13.0270637,80.2329391
13.0888458,80.2903598
13.0905433,80.2909859
13.0921803,80.2915343
13.097398,80.2932396
13.1061462,80.2932331
13.1059989,80.2920422
13.0886371,80.2876706
13.0894808,80.2789136
13.0903952,80.2772636
13.0909096,80.2765243
13.0914196,80.2752039
13.086075,80.2792164
13.0861687,80.2784418
13.0863687,80.2773133
13.0955693,80.2752573
13.1074134,80.2723234
13.1190834,80.276458
13.1209502,80.2769011
13.1286691,80.278722
13.1283864,80.2850317
13.1257659,80.2844291
13.1241512,80.2839256
13.1233183,80.2875793
13.0737818,80.2764982
13.0770794,80.276291
13.0923212,80.2752963
13.1053435,80.2799787
13.1034236,80.279983
13.1021796,80.2799666
13.1007453,80.2800133
13.0985744,80.2800775
13.0951601,80.2798126
13.0943668,80.2796393
13.0927747,80.279421
13.09197,80.2793299
13.0884768,80.2852912
13.0913549,80.2857799
13.0858418,80.280899
13.0853578,80.2783081
13.0835807,80.2780939
13.083387,80.2781193
13.0886274,80.2815146
13.0422986,80.2504083
13.0423262,80.2497409
13.0424802,80.2476562
13.0414266,80.2509979
13.0419663,80.2519503
13.0424268,80.2542696
13.0433428,80.2543282
13.0434919,80.2542337
13.0446793,80.2542594
13.0466756,80.2548396
13.044509,80.2563703
13.0446021,80.2550498
13.0464032,80.2556091
13.0430153,80.259547
13.0434066,80.2524616
13.0341938,80.2371528
13.043953,80.2409843
13.0524265,80.2410002
13.0561108,80.242472
13.0572301,80.2427961
13.05821,80.2407217
13.0317509,80.245856
13.0332297,80.245965
13.0342924,80.2458868
13.0346157,80.2334729
13.043383,80.2445937
13.0474112,80.2453612
13.0486721,80.2455227
13.0497433,80.2402707
13.0506622,80.2353
13.0534346,80.2361522
13.0531729,80.2377152
13.0538133,80.2341222
13.0540537,80.2282332
13.0533,80.224086
13.0527474,80.2218597
13.0519547,80.2189987
13.0514781,80.217671
13.0347846,80.1560876
13.0337119,80.1552714
13.031852,80.1537171
13.0226162,80.1461397
13.0477807,80.2035736
13.0474188,80.1949548
13.0465137,80.1893569
13.0462107,80.1883575
13.0455109,80.1867984
13.0449255,80.1859977
13.0431913,80.1822437
13.042234,80.1802808
13.0420687,80.177059
13.0408876,80.1727618
13.0393514,80.1697917
13.0382749,80.1640131
13.0382099,80.1634464
13.0380585,80.1627222
13.0375445,80.1595795
13.0367454,80.1577285
13.0527693,80.2456064
13.0514975,80.2506815
13.0495744,80.247566
13.0513771,80.24958
13.052391,80.2507557
13.0493383,80.2498217
13.0494117,80.2497085
13.0519536,80.251161
13.0520382,80.2509806
13.0525591,80.2509799
13.0516892,80.2508314
13.0505526,80.2502488
13.0498371,80.2499002
13.035403,80.2570117
13.038053,80.2567953
13.0386236,80.2572037
13.0387094,80.2577323
13.0387272,80.2591169
13.0384952,80.25907
13.0585552,80.2683231
13.0593714,80.2690443
13.0596841,80.2693795
13.0607255,80.271555
13.0609265,80.2733389
13.0609326,80.2739662
13.0609158,80.274329
13.068432,80.2717094
13.0667625,80.273684
13.0658125,80.2761519
13.0652515,80.2773771
13.0647735,80.2782924
13.0637859,80.2781911
13.0625452,80.277993
13.0610462,80.2777484
13.0597274,80.2775224
13.0581789,80.2772677
13.0643907,80.280742
13.0678163,80.28421
13.0715455,80.2749612
13.0237236,80.2276579
13.0204883,80.2216892
13.0201566,80.2210981
13.0158926,80.215384
13.01424,80.2143479
13.0085663,80.2103263
13.009488,80.2110096
13.0129826,80.2075337
13.0128439,80.2086446
13.0130435,80.2108518
13.0125655,80.2117795
13.0118396,80.2128717
13.0104614,80.2163283
13.0097082,80.2150302
13.0074477,80.2128797
13.0052438,80.2125876
13.0052297,80.2126552
13.0037866,80.2120421
13.0025385,80.2121142
12.9972779,80.2164696
13.058902,80.2741686
13.0596347,80.2742472
13.061587,80.2743142
13.0624919,80.2742136
13.0629999,80.2741349
13.0641713,80.2739412
13.0655045,80.2737828
13.0608586,80.2750418
13.0608539,80.275668
13.0597265,80.275723
13.061098,80.2756801
13.0629054,80.2757238
13.0625448,80.2757084
13.0632011,80.2757534
13.0634059,80.2757855
13.063599,80.2763572
13.0637724,80.2774305
13.0625293,80.2770031
